Brooklyn Rolling Sales File.  All Sales From  September 2016 - August 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 09/11/17  Coop Sales File as of 09/08/17.,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/19/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6399,21, ,B2,131 BAY14TH STREET, ,11214,2,0,2," 2,167 "," 2,104 ",1925,1,B2," 950,000 ",3/21/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6401,31, ,B9,40 RUTHERFORD PLACE, ,11214,2,0,2," 2,344 "," 3,100 ",1965,1,B9," 1,450,000 ",2/13/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6401,33, ,B9,44 RUTHERFORD PLACE, ,11214,2,0,2," 1,558 "," 2,365 ",1965,1,B9," 995,000 ",9/22/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6405,34, ,B1,8726 19TH   AVENUE, ,11214,2,0,2," 1,320 "," 2,160 ",1920,1,B1," 1,050,000 ",6/21/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6406,23, ,B9,1900 BENSON AVENUE, ,11214,2,0,2," 5,201 "," 1,446 ",1899,1,B9," 2,000,000 ",5/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6406,115, ,B2,N/A 19TH   AVENUE, ,11214,2,0,2," 4,320 ", -   ,1935,1,B2, -   ,5/16/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,22, ,B9,107 BAY 23RD   STREET, ,11214,2,0,2," 1,974 "," 2,520 ",1940,1,B9," 990,000 ",4/11/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6410,34, ,B3,91 BAY 25TH STREET, ,11214,2,0,2," 2,900 "," 2,080 ",1925,1,B3, -   ,11/16/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6424,22, ,B9,8815 14TH AVENUE, ,11228,2,0,2," 2,070 "," 1,802 ",1935,1,B9," 938,000 ",9/9/16
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6424,30, ,B9,8797 14TH   AVENUE, ,11228,2,0,2," 2,425 "," 3,601 ",1935,1,B9," 1,300,000 ",6/13/17
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6424,41, ,B1,8771 14TH AVENUE, ,11228,2,0,2," 2,000 "," 1,812 ",1935,1,B1, -   ,10/14/16
